Buyer, Price 
NOKIA N225,1.330.000đ
NOKIA N230,1.340.000đ
NOKIA 3310 2017,1.029.000đ
NOKIA N222,940.000đ
NOKIA N220,840.000đ
NOKIA N215,850.000đ
NOKIA N216,819.000đ
NOKIA N108,700.000đ
F-MOBILE (FPT) CARE,490.000đ
NOKIA N130,630.000đ
MASSTEL PLAY 20,550.000đ
MASSTEL FAMI S,510.000đ
MASSTEL PLAY 10,440.000đ
MASSTEL FAMI 5,480.000đ
MASSTEL FAMI 10,440.000đ
FMOBILE BUK 10,450.000đ
F-MOBILE B92P,360.000đ
MOBIISTAR B242,420.000đ
F-MOBILE (FPT) B92,350.000đ
MOBIISTAR B247,420.000đ
SAMSUNG E1200Y,330.000đ
GOLY G307,360.000đ
MASSTEL BIG 30,370.000đ
MASSTEL A265,340.000đ
F-MOBILE C6,320.000đ
MASSTEL A331,370.000đ
F-MOBILE B88 PLUS,370.000đ
GOLY G207,350.000đ
F-MOBILE B82,330.000đ
NOKIA N105 (2 SIM),430.000đ
NOKIA 105 (1 SIM),420.000đ
F-MOBILE (FPT) C8,350.000đ
F-MOBILE (FPT) BUK 2,260.000đ
GOLY G1070,270.000đ
F-MOBILE (FPT) B19,260.000đ
MASSTEL A129,260.000đ
F-MOBILE BUK 15,360.000đ
NOKIA N105 2017 (2 SIM),350.000đ
MOBIISTAR B248,320.000đ
MASSTEL A119,240.000đ
F-MOBILE BUK 16,240.000đ
MASSTEL A122,240.000đ
MASSTEL A129,260.000đ
F-MOBILE C18,350.000đ
BAVAPEN B12,220.000đ
NOKIA N105 2017 (1 SIM),340.000đ
F-MOBILE (FPT) BUK,260.000đ
FMOBILE C1,260.000đ
MASSTEL A240,310.000đ
FMOBILE BUK S,230.000đ
F-MOBILE B16,260.000đ
GOLY G1050,250.000đ
MASSTEL A109I,220.000đ
BAVAPEN B11,190.000đ
FMOBILE C2,230.000đ
MASSTEL A240 C GIÁ RẼ CHÍNH HÃNG,Liên hệ
F-MOBILE (FPT) B90 1800MAH,Liên hệ
GIGI V1,Liên hệ
GOLY 1030,Liên hệ
